team,torvik_team,match_source,match_score,needs_review
Boston University Terriers,Boston University,normalized_exact,1.0,False
Bowling Green,Bowling Green,normalized_exact,1.0,False
Bowling Green Falcons,Bowling Green,alias_exact,1.0,False
Bradley,Bradley,normalized_exact,1.0,False
Bradley Braves,Bradley,alias_exact,1.0,False
Brown,Brown,normalized_exact,1.0,False
Brown Bears,Brown,alias_exact,1.0,False
Bryant,Bryant,normalized_exact,1.0,False
Bryant & Stratton (Ohio) Bobcats,,unmatched,0.0,True
Bryant Bulldogs,Bryant,alias_exact,1.0,False
Bucknell,Bucknell,normalized_exact,1.0,False
Bucknell Bison,Bucknell,alias_exact,1.0,False
Buffalo,Buffalo,normalized_exact,1.0,False
Buffalo Bulls,Buffalo,alias_exact,1.0,False
Butler,Butler,normalized_exact,1.0,False
Butler Bulldogs,Butler,alias_exact,1.0,False
Cal Baptist,Cal Baptist,normalized_exact,1.0,False
Cal Poly,Cal Poly,normalized_exact,1.0,False
Cal Poly Mustangs,Cal Poly,alias_exact,1.0,False
Cal St. Bakersfield,Cal St. Bakersfield,normalized_exact,1.0,False
Cal St. Fullerton,Cal St. Fullerton,normalized_exact,1.0,False
Cal St. Northridge,Cal St. Northridge,normalized_exact,1.0,False
Cal State Bakersfield Roadrunners,Cal St. Bakersfield,alias_exact,1.0,False
Cal State Fullerton Titans,Cal St. Fullerton,alias_exact,1.0,False
Cal State Northridge Matadors,Cal St. Northridge,alias_exact,1.0,False
California,California,normalized_exact,1.0,False
California Baptist Lancers,Cal Baptist,alias_exact,1.0,False
California Golden Bears,California,alias_exact,1.0,False
Campbell,Campbell,normalized_exact,1.0,False
Campbell Fighting Camels,Campbell,alias_exact,1.0,False
Canisius,Canisius,normalized_exact,1.0,False
Canisius Golden Griffins,Canisius,alias_exact,1.0,False
Central Arkansas,Central Arkansas,normalized_exact,1.0,False
Central Arkansas Bears,Central Arkansas,alias_exact,1.0,False
Central Connecticut,Central Connecticut,normalized_exact,1.0,False
Central Connecticut Blue Devils,Central Connecticut,alias_exact,1.0,False
Central Michigan,Central Michigan,normalized_exact,1.0,False
Central Michigan Chippewas,Central Michigan,alias_exact,1.0,False
Charleston,Charleston,normalized_exact,1.0,False
Charleston Cougars,Charleston,alias_exact,1.0,False
Charleston Southern,Charleston Southern,normalized_exact,1.0,False
Charleston Southern Buccaneers,Charleston Southern,alias_exact,1.0,False
Charlotte,Charlotte,normalized_exact,1.0,False
Charlotte 49ers,Charlotte,alias_exact,1.0,False
Chattanooga,Chattanooga,normalized_exact,1.0,False
Chattanooga Mocs,Chattanooga,alias_exact,1.0,False
Chicago St.,Chicago St.,normalized_exact,1.0,False
Chicago State Cougars,Chicago St.,alias_exact,1.0,False
Cincinnati,Cincinnati,normalized_exact,1.0,False
Cincinnati Bearcats,Cincinnati,alias_exact,1.0,False
Clemson,Clemson,normalized_exact,1.0,False
Clemson Tigers,Clemson,alias_exact,1.0,False
Cleveland St.,Cleveland St.,normalized_exact,1.0,False
Cleveland State Vikings,Cleveland St.,alias_exact,1.0,False
Coastal Carolina,Coastal Carolina,normalized_exact,1.0,False
Coastal Carolina Chanticleers,Coastal Carolina,alias_exact,1.0,False
Colgate,Colgate,normalized_exact,1.0,False
Colgate Raiders,Colgate,alias_exact,1.0,False
Colorado,Colorado,normalized_exact,1.0,False
Colorado Buffaloes,Colorado,alias_exact,1.0,False
Colorado St.,Colorado St.,normalized_exact,1.0,False
Colorado State Rams,Colorado St.,alias_exact,1.0,False
Columbia,Columbia,normalized_exact,1.0,False
Columbia Lions,Columbia,alias_exact,1.0,False
Connecticut,Connecticut,normalized_exact,1.0,False
Coppin St.,Coppin St.,normalized_exact,1.0,False
Coppin State Eagles,Coppin St.,alias_exact,1.0,False
Cornell,Cornell,normalized_exact,1.0,False
Cornell Big Red,Cornell,alias_exact,1.0,False
Creighton,Creighton,normalized_exact,1.0,False
Creighton Bluejays,Creighton,alias_exact,1.0,False
Dartmouth,Dartmouth,normalized_exact,1.0,False
Dartmouth Big Green,Dartmouth,alias_exact,1.0,False
Davidson,Davidson,normalized_exact,1.0,False
Davidson Wildcats,Davidson,alias_exact,1.0,False
Dayton,Dayton,normalized_exact,1.0,False
Dayton Flyers,Dayton,alias_exact,1.0,False
DePaul,DePaul,normalized_exact,1.0,False
DePaul Blue Demons,DePaul,alias_exact,1.0,False
Delaware,Delaware,normalized_exact,1.0,False
Delaware Blue Hens,Delaware,alias_exact,1.0,False
Delaware St.,Delaware St.,normalized_exact,1.0,False
Delaware State Hornets,Delaware St.,alias_exact,1.0,False
Denver,Denver,normalized_exact,1.0,False
Denver Pioneers,Denver,alias_exact,1.0,False
Detroit Mercy,Detroit Mercy,normalized_exact,1.0,False
Detroit Mercy Titans,Detroit Mercy,alias_exact,1.0,False
Drake,Drake,normalized_exact,1.0,False
Drake Bulldogs,Drake,alias_exact,1.0,False
Drexel,Drexel,normalized_exact,1.0,False
Drexel Dragons,Drexel,alias_exact,1.0,False
Duke,Duke,normalized_exact,1.0,False
Duke Blue Devils,Duke,alias_exact,1.0,False
Duquesne,Duquesne,normalized_exact,1.0,False
Duquesne Dukes,Duquesne,alias_exact,1.0,False
East Carolina,East Carolina,normalized_exact,1.0,False
East Carolina Pirates,East Carolina,alias_exact,1.0,False
East Tennessee St.,East Tennessee St.,normalized_exact,1.0,False
East Tennessee State Buccaneers,East Tennessee St.,alias_exact,1.0,False
East Texas A&M,East Texas A&M,normalized_exact,1.0,False
East Texas A&M Lions,East Texas A&M,alias_exact,1.0,False
Eastern Illinois,Eastern Illinois,normalized_exact,1.0,False
Eastern Illinois Panthers,Eastern Illinois,alias_exact,1.0,False
Eastern Kentucky,Eastern Kentucky,normalized_exact,1.0,False
Eastern Kentucky Colonels,Eastern Kentucky,alias_exact,1.0,False
Eastern Michigan,Eastern Michigan,normalized_exact,1.0,False
Eastern Michigan Eagles,Eastern Michigan,alias_exact,1.0,False
Eastern Washington,Eastern Washington,normalized_exact,1.0,False
Eastern Washington Eagles,Eastern Washington,alias_exact,1.0,False
Elizabeth City State Vikings,,unmatched,0.0,True
Elon,Elon,normalized_exact,1.0,False
Elon Phoenix,Elon,alias_exact,1.0,False
Evansville,Evansville,normalized_exact,1.0,False
Evansville Purple Aces,Evansville,alias_exact,1.0,False
FIU,FIU,normalized_exact,1.0,False
Fairfield,Fairfield,normalized_exact,1.0,False
Fairfield Stags,Fairfield,alias_exact,1.0,False
Fairleigh Dickinson,Fairleigh Dickinson,normalized_exact,1.0,False
Fairleigh Dickinson Knights,Fairleigh Dickinson,alias_exact,1.0,False
Florida,Florida,normalized_exact,1.0,False
Florida A&M,Florida A&M,normalized_exact,1.0,False
Florida A&M Rattlers,Florida A&M,alias_exact,1.0,False
Florida Atlantic,Florida Atlantic,normalized_exact,1.0,False
Florida Atlantic Owls,Florida Atlantic,alias_exact,1.0,False
Florida Gators,Florida,alias_exact,1.0,False
Florida Gulf Coast,Florida Gulf Coast,normalized_exact,1.0,False
Florida Gulf Coast Eagles,Florida Gulf Coast,alias_exact,1.0,False
Florida International Panthers,Florida,alias_exact,1.0,False
Florida St.,Florida St.,normalized_exact,1.0,False
Florida State Seminoles,Florida St.,alias_exact,1.0,False
Fordham,Fordham,normalized_exact,1.0,False
Fordham Rams,Fordham,alias_exact,1.0,False
Fresno St.,Fresno St.,normalized_exact,1.0,False
Fresno State Bulldogs,Fresno St.,alias_exact,1.0,False
Furman,Furman,normalized_exact,1.0,False
Furman Paladins,Furman,alias_exact,1.0,False
Gardner Webb,Gardner Webb,normalized_exact,1.0,False
Gardner-Webb Runnin' Bulldogs,Gardner Webb,alias_exact,1.0,False
George Mason,George Mason,normalized_exact,1.0,False
George Mason Patriots,George Mason,alias_exact,1.0,False
George Washington,George Washington,normalized_exact,1.0,False
George Washington Revolutionaries,George Washington,alias_exact,1.0,False
Georgetown,Georgetown,normalized_exact,1.0,False
Georgetown Hoyas,Georgetown,alias_exact,1.0,False
Georgia,Georgia,normalized_exact,1.0,False
Georgia Bulldogs,Georgia,alias_exact,1.0,False
Georgia Southern,Georgia Southern,normalized_exact,1.0,False
Georgia Southern Eagles,Georgia Southern,alias_exact,1.0,False
Georgia St.,Georgia St.,normalized_exact,1.0,False
Georgia State Panthers,Georgia St.,alias_exact,1.0,False
Georgia Tech,Georgia Tech,normalized_exact,1.0,False
Georgia Tech Yellow Jackets,Georgia Tech,alias_exact,1.0,False
Gonzaga,Gonzaga,normalized_exact,1.0,False
Gonzaga Bulldogs,Gonzaga,alias_exact,1.0,False
Grambling St.,Grambling St.,normalized_exact,1.0,False
Grambling Tigers,Grambling St.,normalized_exact,1.0,False
Grand Canyon,Grand Canyon,normalized_exact,1.0,False
Grand Canyon Lopes,Grand Canyon,alias_exact,1.0,False
Green Bay,Green Bay,normalized_exact,1.0,False
Green Bay Phoenix,Green Bay,alias_exact,1.0,False
Hampton,Hampton,normalized_exact,1.0,False
Hampton Pirates,Hampton,alias_exact,1.0,False
Harvard,Harvard,normalized_exact,1.0,False
Harvard Crimson,Harvard,alias_exact,1.0,False
Hawai'i Rainbow Warriors,Hawaii,alias_exact,1.0,False
Hawaii,Hawaii,normalized_exact,1.0,False
High Point,High Point,normalized_exact,1.0,False
High Point Panthers,High Point,alias_exact,1.0,False
Hofstra,Hofstra,normalized_exact,1.0,False
Hofstra Pride,Hofstra,alias_exact,1.0,False
Holy Cross,Holy Cross,normalized_exact,1.0,False
Holy Cross Crusaders,Holy Cross,alias_exact,1.0,False
Houston,Houston,normalized_exact,1.0,False
Houston Christian,Houston Christian,normalized_exact,1.0,False
Houston Christian Huskies,Houston Christian,alias_exact,1.0,False
Houston Cougars,Houston,alias_exact,1.0,False
Howard,Howard,normalized_exact,1.0,False
Howard Bison,Howard,alias_exact,1.0,False
IU Indianapolis Jaguars,IU Indy,normalized_exact,1.0,False
IU Indy,IU Indy,normalized_exact,1.0,False
Idaho,Idaho,normalized_exact,1.0,False
Idaho St.,Idaho St.,normalized_exact,1.0,False
Idaho State Bengals,Idaho St.,alias_exact,1.0,False
Idaho Vandals,Idaho,alias_exact,1.0,False
Illinois,Illinois,normalized_exact,1.0,False
Illinois Chicago,Illinois Chicago,normalized_exact,1.0,False
Illinois Fighting Illini,Illinois,alias_exact,1.0,False
Illinois St.,Illinois St.,normalized_exact,1.0,False
Illinois State Redbirds,Illinois St.,alias_exact,1.0,False
Incarnate Word,Incarnate Word,normalized_exact,1.0,False
Incarnate Word Cardinals,Incarnate Word,alias_exact,1.0,False
Indiana,Indiana,normalized_exact,1.0,False
Indiana Hoosiers,Indiana,alias_exact,1.0,False
Indiana St.,Indiana St.,normalized_exact,1.0,False
Indiana State Sycamores,Indiana St.,alias_exact,1.0,False
Iona,Iona,normalized_exact,1.0,False
Iona Gaels,Iona,alias_exact,1.0,False
Iowa,Iowa,normalized_exact,1.0,False
Iowa Hawkeyes,Iowa,alias_exact,1.0,False
Iowa St.,Iowa St.,normalized_exact,1.0,False
Iowa State Cyclones,Iowa St.,alias_exact,1.0,False
Jackson St.,Jackson St.,normalized_exact,1.0,False
Jackson State Tigers,Jackson St.,alias_exact,1.0,False
Jacksonville,Jacksonville,normalized_exact,1.0,False
Jacksonville Dolphins,Jacksonville,alias_exact,1.0,False
Jacksonville St.,Jacksonville St.,normalized_exact,1.0,False
Jacksonville State Gamecocks,Jacksonville St.,alias_exact,1.0,False
James Madison,James Madison,normalized_exact,1.0,False
James Madison Dukes,James Madison,alias_exact,1.0,False
Kansas,Kansas,normalized_exact,1.0,False
Kansas City Roos,Kansas,alias_exact,1.0,False
Kansas Jayhawks,Kansas,alias_exact,1.0,False
Kansas St.,Kansas St.,normalized_exact,1.0,False
Kansas State Wildcats,Kansas St.,alias_exact,1.0,False
Kennesaw St.,Kennesaw St.,normalized_exact,1.0,False
Kennesaw State Owls,Kennesaw St.,alias_exact,1.0,False
Kent St.,Kent St.,normalized_exact,1.0,False
Kent State Golden Flashes,Kent St.,alias_exact,1.0,False
Kentucky,Kentucky,normalized_exact,1.0,False
Kentucky Wildcats,Kentucky,alias_exact,1.0,False
LIU,LIU,normalized_exact,1.0,False
LSU,LSU,normalized_exact,1.0,False
LSU Tigers,LSU,alias_exact,1.0,False
La Salle,La Salle,normalized_exact,1.0,False
La Salle Explorers,La Salle,alias_exact,1.0,False
Lafayette,Lafayette,normalized_exact,1.0,False
Lafayette Leopards,Lafayette,alias_exact,1.0,False
Lamar,Lamar,normalized_exact,1.0,False
Lamar Cardinals,Lamar,alias_exact,1.0,False
Le Moyne,Le Moyne,normalized_exact,1.0,False
Le Moyne Dolphins,Le Moyne,alias_exact,1.0,False
Lehigh,Lehigh,normalized_exact,1.0,False
Lehigh Mountain Hawks,Lehigh,alias_exact,1.0,False
Liberty,Liberty,normalized_exact,1.0,False
Liberty Flames,Liberty,alias_exact,1.0,False
Lindenwood,Lindenwood,normalized_exact,1.0,False
Lindenwood Lions,Lindenwood,alias_exact,1.0,False
Lipscomb,Lipscomb,normalized_exact,1.0,False
Lipscomb Bisons,Lipscomb,alias_exact,1.0,False
Little Rock,Little Rock,normalized_exact,1.0,False
Little Rock Trojans,Little Rock,alias_exact,1.0,False
Long Beach St.,Long Beach St.,normalized_exact,1.0,False
Long Beach State Beach,Long Beach St.,alias_exact,1.0,False
Long Island University Sharks,LIU,normalized_exact,1.0,False
Longwood,Longwood,normalized_exact,1.0,False
Longwood Lancers,Longwood,alias_exact,1.0,False
Louisiana,Louisiana,normalized_exact,1.0,False
Louisiana Monroe,Louisiana Monroe,normalized_exact,1.0,False
Louisiana Ragin' Cajuns,Louisiana,alias_exact,1.0,False
Louisiana Tech,Louisiana Tech,normalized_exact,1.0,False
Louisiana Tech Bulldogs,Louisiana Tech,alias_exact,1.0,False
Louisville,Louisville,normalized_exact,1.0,False
Louisville Cardinals,Louisville,alias_exact,1.0,False
Loyola Chicago,Loyola Chicago,normalized_exact,1.0,False
Loyola Chicago Ramblers,Loyola Chicago,alias_exact,1.0,False
Loyola MD,Loyola MD,normalized_exact,1.0,False
Loyola Maryland Greyhounds,Loyola MD,normalized_exact,1.0,False
Loyola Marymount,Loyola Marymount,normalized_exact,1.0,False
Loyola Marymount Lions,Loyola Marymount,alias_exact,1.0,False
Maine,Maine,normalized_exact,1.0,False
Maine Black Bears,Maine,alias_exact,1.0,False
Manhattan,Manhattan,normalized_exact,1.0,False
Manhattan Jaspers,Manhattan,alias_exact,1.0,False
Marist,Marist,normalized_exact,1.0,False
Marist Red Foxes,Marist,alias_exact,1.0,False
Marquette,Marquette,normalized_exact,1.0,False
Marquette Golden Eagles,Marquette,alias_exact,1.0,False
Marshall,Marshall,normalized_exact,1.0,False
Marshall Thundering Herd,Marshall,alias_exact,1.0,False
Maryland,Maryland,normalized_exact,1.0,False
Maryland Eastern Shore,Maryland Eastern Shore,normalized_exact,1.0,False
Maryland Eastern Shore Hawks,Maryland Eastern Shore,alias_exact,1.0,False
Maryland Terrapins,Maryland,alias_exact,1.0,False
Massachusetts,Massachusetts,normalized_exact,1.0,False
Massachusetts Minutemen,Massachusetts,alias_exact,1.0,False
McNeese Cowboys,McNeese St.,normalized_exact,1.0,False
McNeese St.,McNeese St.,normalized_exact,1.0,False
Memphis,Memphis,normalized_exact,1.0,False
Memphis Tigers,Memphis,alias_exact,1.0,False
Mercer,Mercer,normalized_exact,1.0,False
Mercer Bears,Mercer,alias_exact,1.0,False
Mercyhurst,Mercyhurst,normalized_exact,1.0,False
Mercyhurst Lakers,Mercyhurst,alias_exact,1.0,False
Merrimack,Merrimack,normalized_exact,1.0,False
Merrimack Warriors,Merrimack,alias_exact,1.0,False
Miami (OH) RedHawks,Miami OH,alias_exact,1.0,False
Miami FL,Miami FL,normalized_exact,1.0,False
Miami Hurricanes,Miami FL,alias_exact,1.0,False
Miami OH,Miami OH,normalized_exact,1.0,False
Michigan,Michigan,normalized_exact,1.0,False
Michigan St.,Michigan St.,normalized_exact,1.0,False
Michigan State Spartans,Michigan St.,alias_exact,1.0,False
Michigan Wolverines,Michigan,alias_exact,1.0,False
Mid-Atlantic Christian Mustangs,,unmatched,0.0,True
Middle Tennessee,Middle Tennessee,normalized_exact,1.0,False
Middle Tennessee Blue Raiders,Middle Tennessee,alias_exact,1.0,False
Milwaukee,Milwaukee,normalized_exact,1.0,False
Milwaukee Panthers,Milwaukee,alias_exact,1.0,False
Minnesota,Minnesota,normalized_exact,1.0,False
Minnesota Golden Gophers,Minnesota,alias_exact,1.0,False
Mississippi,Mississippi,normalized_exact,1.0,False
Mississippi St.,Mississippi St.,normalized_exact,1.0,False
Mississippi State Bulldogs,Mississippi St.,alias_exact,1.0,False
Mississippi Valley St.,Mississippi Valley St.,normalized_exact,1.0,False
Mississippi Valley State Delta Devils,Mississippi Valley St.,alias_exact,1.0,False
Missouri,Missouri,normalized_exact,1.0,False
Missouri St.,Missouri St.,normalized_exact,1.0,False
Missouri State Bears,Missouri St.,alias_exact,1.0,False
Missouri Tigers,Missouri,alias_exact,1.0,False
Monmouth,Monmouth,normalized_exact,1.0,False
Monmouth Hawks,Monmouth,alias_exact,1.0,False
Montana,Montana,normalized_exact,1.0,False
Montana Grizzlies,Montana,alias_exact,1.0,False
Montana St.,Montana St.,normalized_exact,1.0,False
Montana State Bobcats,Montana St.,alias_exact,1.0,False
Morehead St.,Morehead St.,normalized_exact,1.0,False
Morehead State Eagles,Morehead St.,alias_exact,1.0,False
Morehouse Maroon Tigers,,unmatched,0.0,True
Morgan St.,Morgan St.,normalized_exact,1.0,False
Morgan State Bears,Morgan St.,alias_exact,1.0,False
Mount St. Mary's,Mount St. Mary's,normalized_exact,1.0,False
Mount St. Mary's Mountaineers,Mount St. Mary's,alias_exact,1.0,False
Murray St.,Murray St.,normalized_exact,1.0,False
Murray State Racers,Murray St.,alias_exact,1.0,False
N.C. State,N.C. State,normalized_exact,1.0,False
NC State Wolfpack,N.C. State,alias_fuzzy,0.9091,False
NJIT,NJIT,normalized_exact,1.0,False
NJIT Highlanders,NJIT,alias_exact,1.0,False
Navy,Navy,normalized_exact,1.0,False
Navy Midshipmen,Navy,alias_exact,1.0,False
Nebraska,Nebraska,normalized_exact,1.0,False
Nebraska Cornhuskers,Nebraska,alias_exact,1.0,False
Nebraska Omaha,Nebraska Omaha,normalized_exact,1.0,False
Nevada,Nevada,normalized_exact,1.0,False
Nevada Wolf Pack,Nevada,alias_exact,1.0,False
New Hampshire,New Hampshire,normalized_exact,1.0,False
New Hampshire Wildcats,New Hampshire,alias_exact,1.0,False
New Haven,New Haven,normalized_exact,1.0,False
New Haven Chargers,New Haven,alias_exact,1.0,False
New Mexico,New Mexico,normalized_exact,1.0,False
New Mexico Lobos,New Mexico,alias_exact,1.0,False
New Mexico St.,New Mexico St.,normalized_exact,1.0,False
New Mexico State Aggies,New Mexico St.,alias_exact,1.0,False
New Orleans,New Orleans,normalized_exact,1.0,False
New Orleans Privateers,New Orleans,alias_exact,1.0,False
Niagara,Niagara,normalized_exact,1.0,False
Niagara Purple Eagles,Niagara,alias_exact,1.0,False
Nicholls Colonels,Nicholls St.,normalized_exact,1.0,False
Nicholls St.,Nicholls St.,normalized_exact,1.0,False
Norfolk St.,Norfolk St.,normalized_exact,1.0,False
Norfolk State Spartans,Norfolk St.,alias_exact,1.0,False
North Alabama,North Alabama,normalized_exact,1.0,False
North Alabama Lions,North Alabama,alias_exact,1.0,False
North Carolina,North Carolina,normalized_exact,1.0,False
North Carolina A&T,North Carolina A&T,normalized_exact,1.0,False
North Carolina A&T Aggies,North Carolina A&T,alias_exact,1.0,False
North Carolina Central,North Carolina Central,normalized_exact,1.0,False
North Carolina Central Eagles,North Carolina Central,alias_exact,1.0,False
North Carolina Tar Heels,North Carolina,alias_exact,1.0,False
North Dakota,North Dakota,normalized_exact,1.0,False
North Dakota Fighting Hawks,North Dakota,alias_exact,1.0,False
North Dakota St.,North Dakota St.,normalized_exact,1.0,False
North Dakota State Bison,North Dakota St.,alias_exact,1.0,False
North Florida,North Florida,normalized_exact,1.0,False
North Florida Ospreys,North Florida,alias_exact,1.0,False
North Texas,North Texas,normalized_exact,1.0,False
North Texas Mean Green,North Texas,alias_exact,1.0,False
Northeastern,Northeastern,normalized_exact,1.0,False
Northeastern Huskies,Northeastern,alias_exact,1.0,False
Northern Arizona,Northern Arizona,normalized_exact,1.0,False
Northern Arizona Lumberjacks,Northern Arizona,alias_exact,1.0,False
Northern Colorado,Northern Colorado,normalized_exact,1.0,False
Northern Colorado Bears,Northern Colorado,alias_exact,1.0,False
Northern Illinois,Northern Illinois,normalized_exact,1.0,False
Northern Illinois Huskies,Northern Illinois,alias_exact,1.0,False
Northern Iowa,Northern Iowa,normalized_exact,1.0,False
Northern Iowa Panthers,Northern Iowa,alias_exact,1.0,False
Northern Kentucky,Northern Kentucky,normalized_exact,1.0,False
Northern Kentucky Norse,Northern Kentucky,alias_exact,1.0,False
Northwestern,Northwestern,normalized_exact,1.0,False
Northwestern St.,Northwestern St.,normalized_exact,1.0,False
Northwestern State Demons,Northwestern St.,alias_exact,1.0,False
Northwestern Wildcats,Northwestern,alias_exact,1.0,False
Notre Dame,Notre Dame,normalized_exact,1.0,False
Notre Dame Fighting Irish,Notre Dame,alias_exact,1.0,False
Oakland,Oakland,normalized_exact,1.0,False
Oakland Golden Grizzlies,Oakland,alias_exact,1.0,False
Ohio,Ohio,normalized_exact,1.0,False
Ohio Bobcats,Ohio,alias_exact,1.0,False
Ohio St.,Ohio St.,normalized_exact,1.0,False
Ohio State Buckeyes,Ohio St.,alias_exact,1.0,False
Oklahoma,Oklahoma,normalized_exact,1.0,False
Oklahoma Sooners,Oklahoma,alias_exact,1.0,False
Oklahoma St.,Oklahoma St.,normalized_exact,1.0,False
Oklahoma State Cowboys,Oklahoma St.,alias_exact,1.0,False
Old Dominion,Old Dominion,normalized_exact,1.0,False
Old Dominion Monarchs,Old Dominion,alias_exact,1.0,False
Ole Miss Rebels,Mississippi,alias_exact,1.0,False
Omaha Mavericks,Nebraska Omaha,normalized_exact,1.0,False
Oral Roberts,Oral Roberts,normalized_exact,1.0,False
Oral Roberts Golden Eagles,Oral Roberts,alias_exact,1.0,False
Oregon,Oregon,normalized_exact,1.0,False
Oregon Ducks,Oregon,alias_exact,1.0,False
Oregon St.,Oregon St.,normalized_exact,1.0,False
Oregon State Beavers,Oregon St.,alias_exact,1.0,False
Pacific,Pacific,normalized_exact,1.0,False
Pacific Tigers,Pacific,alias_exact,1.0,False
Penn,Penn,normalized_exact,1.0,False
Penn St.,Penn St.,normalized_exact,1.0,False
Penn State Nittany Lions,Penn St.,alias_exact,1.0,False
Pennsylvania Quakers,Penn,alias_exact,1.0,False
Pepperdine,Pepperdine,normalized_exact,1.0,False
Pepperdine Waves,Pepperdine,alias_exact,1.0,False
Pittsburgh,Pittsburgh,normalized_exact,1.0,False
Pittsburgh Panthers,Pittsburgh,alias_exact,1.0,False
Portland,Portland,normalized_exact,1.0,False
Portland Pilots,Portland,alias_exact,1.0,False
Portland St.,Portland St.,normalized_exact,1.0,False
Portland State Vikings,Portland St.,alias_exact,1.0,False
Prairie View A&M,Prairie View A&M,normalized_exact,1.0,False
Prairie View A&M Panthers,Prairie View A&M,alias_exact,1.0,False
Presbyterian,Presbyterian,normalized_exact,1.0,False
Presbyterian Blue Hose,Presbyterian,alias_exact,1.0,False
Princeton,Princeton,normalized_exact,1.0,False
Princeton Tigers,Princeton,alias_exact,1.0,False
Providence,Providence,normalized_exact,1.0,False
Providence Friars,Providence,alias_exact,1.0,False
Purdue,Purdue,normalized_exact,1.0,False
Purdue Boilermakers,Purdue,alias_exact,1.0,False
Purdue Fort Wayne,Purdue Fort Wayne,normalized_exact,1.0,False
Purdue Fort Wayne Mastodons,Purdue Fort Wayne,alias_exact,1.0,False
Queens,Queens,normalized_exact,1.0,False
Queens University Royals,Queens,alias_exact,1.0,False
Quinnipiac,Quinnipiac,normalized_exact,1.0,False
Quinnipiac Bobcats,Quinnipiac,alias_exact,1.0,False
Radford,Radford,normalized_exact,1.0,False
Radford Highlanders,Radford,alias_exact,1.0,False
Rhode Island,Rhode Island,normalized_exact,1.0,False
Rhode Island Rams,Rhode Island,alias_exact,1.0,False
Rice,Rice,normalized_exact,1.0,False
Rice Owls,Rice,alias_exact,1.0,False
Richmond,Richmond,normalized_exact,1.0,False
Richmond Spiders,Richmond,alias_exact,1.0,False
Rider,Rider,normalized_exact,1.0,False
Rider Broncs,Rider,alias_exact,1.0,False
Robert Morris,Robert Morris,normalized_exact,1.0,False
Robert Morris Colonials,Robert Morris,alias_exact,1.0,False
Rutgers,Rutgers,normalized_exact,1.0,False
Rutgers Scarlet Knights,Rutgers,alias_exact,1.0,False
